pOR10,[ ],[ ]
pOR20,[ ],[ ]
pOR30,[ ],[ ]
pOR1020,[ ],[ ]
pOR1030,[ ],[ ]
pOR2030,[ ],[ ]
pNOR1020,[ ],[ ]
pNOR1030,[ ],[ ]
pNOR2030,[ ],[ ]
pNOR40,[ ],[ ]
pPcI-yfp,[ ],[ ]
pcI-lasI,[ ],[ ]
pcI-rhlI,[ ],[ ]
pBW10xlac-gfp,[ ],[ ]
pBW20xara-gfp,[ ],[ ]
pBW30xlux-gfp,[ ],[ ]
pBW115lac-hrpR,[ ],[ ]
pBW213ara-hrpS,[ ],[ ]
pBW313lux-hrpR,[ ],[ ]
PBW12xlac-cIgfp,[ ],[ ]
pBW400hrpL-gfp,[ ],[ ]
PBW412hrpL-cIgfp,[ ],[ ]
pSupDLuxR,[ ],[ ]
pAC-SalSer914,[ ],[ ]
pBAC874t,[ ],[ ]
pBACxxx,[ ],[ ]
pBACr-Mgr901,[ ],[ ]
pBACr-AraT7940,[ ],[ ]
pBACr-Mgr940,[ ],[ ]
pBACr-Mgr951,[ ],[ ]
pBR939B,[ ],[ ]
pFNK-202-eyfp-qscxxx,[ ],[ ]
pMUX-204-qscxxx,[ ],[ ]
pINV-107-mutx,[ ],[ ]
pLD,[ ],[ ]
pSND,[ ],[ ]
pHD-gfp,[ ],[ ]
pHD-rfp,[ ],[ ]
pCFP,[ ],[ ]
pRFP,[ ],[ ]
pMKN7a,[ ],[ ]
pBAG10x,[ ],[ ]
pBRTxxx,[ ],[ ]
pTAK102-103a,[ ],[ ]
pTAK106-107,[ ],[ ]
pIKE108-110,[ ],[ ]
pTAK117-132,[ ],[ ]
pIKE107,[ ],[ ]
pJS167,[ ],[ ]
pJS169,[ ],[ ]
BBa_F2620,[ ],[ ]
pJT108,[ ],[ ]
pJT105,[ ],[ ]
pJT106,[ ],[ ]
pEDL3,[ ],[ ]
pLuxRI2,[ ],[ ]
pluxCcdB3,[ ],[ ]
predator1-MG1655,[ ],[ ]
predator2-MG1655,[ ],[ ]
prey1-Top10F,[ ],[ ]
prey2-Top10F,[ ],[ ]
predator-Top10F,[ ],[ ]
pBR322-ptrc-lexA,[ ],[ ]
pRV2-SOS,[ ],[ ]
pZE21-MCSI-pZE12-luc,[ ],[ ]
pZE21-MCS1-gfp,[ ],[ ]
PLuxI-Tet-8,[ ],[ ]
pLTSUB-202-RBSH,[ ],[ ]
pPSSUB-101-mut4,[ ],[ ]
pCRT1,[ ],[ ]
pCRT2,[ ],[ ]
pCRT3,[ ],[ ]
pTara:500,[ ],[ ]
pTSara-N,[ ],[ ]
pTSara-C,[ ],[ ]
pTSlb,[ ],[ ]
pET:NNNN:GFP,[ ],[ ]
PluxI-lacO-GFPmut2,[ ],[ ]
pBAD-cI-pOR1-gfp,[ ],[ ]
pBAD-cI-pOR1-gfp,[ ],[ ]
pBAD-cI-pOR1-gfp,[ ],[ ]
pTACsym-yfp,[ ],[ ]
pTACsym-McbR-pMcbR-yfp,[ ],[ ]
pTACsym-R73delta-pMcbR-yfp,[ ],[ ]
pSal-yfp,[ ],[ ]
pSal-McbR-pMcbR-yfp,[ ],[ ]
pSal-R73delta-pMcbR-yfp,[ ],[ ]
pBAD-rfp,[ ],[ ]
pTac-rfp,[ ],[ ]
pLux-rfp,[ ],[ ]
pTet-rfp,[ ],[ ]
pTET-invF,[ ],[ ]
pBAD-sicA,[ ],[ ]
psicA-rfp,[ ],[ ]
pTet-mxiE,[ ],[ ]
pBAD-ipgC,[ ],[ ]
pipaH-rfp,[ ],[ ]
pTet-exsDA,[ ],[ ]
pLux-exsC,[ ],[ ]
pexsC-rfp,[ ],[ ]
pACPc-invF,[ ],[ ]
pXCPi-sicA,[ ],[ ]
